pid,pidAuthors,typeId,organizerId,topicId,categories,costsRedCondition,title,subtitle,start,end,code,description,targetGroup,targetLearning,trainer,schedule,placeName,city ,zip,address,costsReg,costsRed,eligibility,contact2Email,contact1Email,extRegLink,isAnnouncement
1234,12345,1,1,1,"1,2,4",Für Mitglieder,Titel einer Veranstaltung,Untertitel einer Veranstaltung,01.11.11,02.11.11,123-456,Freitextfeld: Eine beliebig lange Beschreibung,Zielgruppe X und Y,Lernziel Z,Max Mustermann,Freitextfeld für Zeitplan / Programm,Stadt,Stadt X,12345,Musterstr. 1,100,75,0,mustermann@rkw.de,,https://anmeldung.veranstaltung.de,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Zahl),(Zahl),(Zahl),(Zahl),(Zahl),(Kommaseparierte Zahlen-Liste),(Text),(Text),(Text),(Datum),(Datum),(Text),(Textarea),(Textarea),(Textarea),(Text),(Textarea),(Text),(Text),(Zahl),(Text),(Zahl),(Zahl),(Bool),(Text),(Text),(Text),(Bool)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stand: 26.01.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legende der Feld-Typen:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zahl:,Einfach Zahl,,,,,,,,,,,,,,,,,,,,,,,,,,
Kommaseparierte Zahlen-Liste:,Aneinandereihung von Zahlen,,,,,,,,,,,,,,,,,,,,,,,,,,
Text:,Kurzer Text,,,,,,,,,,,,,,,,,,,,,,,,,,
Textarea:,Langer Text mit HTML möglich,,,,,,,,,,,,,,,,,,,,,,,,,,
Datum:,Ein Datum „dd.mm.yyyy“,,,,,,,,,,,,,,,,,,,,,,,,,,
Bool / Boolean (Wahreitswert),1 = „Ja“ / 0 = „Nein“,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alle zur Verfügung stehenden Felder:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Typ,Text-Name in TYPO3,Erklärung,,,,,,,,,,,,,,,,,,,,,,,,
pid,Zahl,---,Speicherort der VA,,,,,,,,,,,,,,,,,,,,,,,,
pidAuthors,Zahl,---,Speicherort der Autoren / Ansprechpartner (Die Ansprechpartner selbst können separat via E-Mail eingetragen werden),,,,,,,,,,,,,,,,,,,,,,,,
typeId,Zahl,Veranstaltungsart,"ID von z.B. Seminar, Webinar, Workshop",,,,,,,,,,,,,,,,,,,,,,,,
topicId,Zahl,Themenart,"ID von z.B. Allgemein, Bau, Gründung",,,,,,,,,,,,,,,,,,,,,,,,
organizerId,Zahl,Organisator,ID des Veranstalter-Datensatzes,,,,,,,,,,,,,,,,,,,,,,,,
title,Text,Titel,,,,,,,,,,,,,,,,,,,,,,,,,
subtitle,Text,Untertitel,,,,,,,,,,,,,,,,,,,,,,,,,
description,Textarea,Beschreibung,,,,,,,,,,,,,,,,,,,,,,,,,
description2,Textarea,Beschreibung (Zusatz),,,,,,,,,,,,,,,,,,,,,,,,,
partner,Textarea,Partner,,,,,,,,,,,,,,,,,,,,,,,,,
start,Datum,Start Veranstaltung,dd.mm.yyy,,,,,,,,,,,,,,,,,,,,,,,,
end,Datum,Ende Veranstaltung,dd.mm.yyy,,,,,,,,,,,,,,,,,,,,,,,,
time,Uhrzeit,---,HH:ii,,,,,,,,,,,,,,,,,,,,,,,,
regEnd,Datum,Anmeldeschluss,dd.mm.yyy,,,,,,,,,,,,,,,,,,,,,,,,
regRequired,Bool,Anmeldung erforderlich,1 = „Ja“ oder 0 = „Nein“,,,,,,,,,,,,,,,,,,,,,,,,
regSingle,Bool,Nur Einzelanmeldungen erlauben,1 = „Ja“ oder 0 = „Nein“,,,,,,,,,,,,,,,,,,,,,,,,
extRegLink,Text,Externer Anmeldungslink,,,,,,,,,,,,,,,,,,,,,,,,,
currency,Text,Währung,"IsoCodeA3, also z.B. „EUR“",,,,,,,,,,,,,,,,,,,,,,,,
seats,Zahl,Verfügbare Plätze,,,,,,,,,,,,,,,,,,,,,,,,,
costsUnknown,Bool,Preis noch nicht festgelegt,Hinweis: Nur bei VA-Typ „Ankündigung“,,,,,,,,,,,,,,,,,,,,,,,,
costsReg,Zahl,Preis regulär (pro Person),Zahl (ohne Währungsangabe),,,,,,,,,,,,,,,,,,,,,,,,
costsRed,Zahl,Preis ermäßigt (pro Person),Zahl (ohne Währungsangabe),,,,,,,,,,,,,,,,,,,,,,,,
costsRedCondition,Text,Bedingung für reduzierten Preis,,,,,,,,,,,,,,,,,,,,,,,,,
costsTaxIncluded,Bool,Steuern,0 = „Preis exkl. MwSt.“  1 = „Preis inkl. MwSt“  2 = „Keine MwSt./USt.“,,,,,,,,,,,,,,,,,,,,,,,,
placeName,Text,---,Name des Ortes: Damit wird der Datensatz „Veranstaltungsort“ erzeugt,,,,,,,,,,,,,,,,,,,,,,,,
address,Text,,Adresse: Damit wird der Datensatz „Veranstaltungsort“ erzeugt,,,,,,,,,,,,,,,,,,,,,,,,
zip,Zahl,,PLZ: Damit wird der Datensatz „Veranstaltungsort“ erzeugt,,,,,,,,,,,,,,,,,,,,,,,,
city,Text,,Name der Stadt: Damit wird der Datensatz „Veranstaltungsort“ erzeugt,,,,,,,,,,,,,,,,,,,,,,,,
targetGroup,Textarea,Zielgruppe,,,,,,,,,,,,,,,,,,,,,,,,,
